num,company,niche,city,instagram_or_site,whatsapp,contact_person,icp_yes_no,status,touch_date,result,next_step
1,,,,,,,,не писали,,,
2,,,,,,,,не писали,,,
3,,,,,,,,не писали,,,
4,,,,,,,,не писали,,,
5,,,,,,,,не писали,,,
6,,,,,,,,не писали,,,
7,,,,,,,,не писали,,,
8,,,,,,,,не писали,,,
9,,,,,,,,не писали,,,
10,,,,,,,,не писали,,,
11,,,,,,,,не писали,,,
12,,,,,,,,не писали,,,
13,,,,,,,,не писали,,,
14,,,,,,,,не писали,,,
15,,,,,,,,не писали,,,
16,,,,,,,,не писали,,,
17,,,,,,,,не писали,,,
18,,,,,,,,не писали,,,
19,,,,,,,,не писали,,,
20,,,,,,,,не писали,,,
21,,,,,,,,не писали,,,
22,,,,,,,,не писали,,,
23,,,,,,,,не писали,,,
24,,,,,,,,не писали,,,
25,,,,,,,,не писали,,,
26,,,,,,,,не писали,,,
27,,,,,,,,не писали,,,
28,,,,,,,,не писали,,,
29,,,,,,,,не писали,,,
30,,,,,,,,не писали,,,
31,,,,,,,,не писали,,,
32,,,,,,,,не писали,,,
33,,,,,,,,не писали,,,
34,,,,,,,,не писали,,,
35,,,,,,,,не писали,,,
36,,,,,,,,не писали,,,
37,,,,,,,,не писали,,,
38,,,,,,,,не писали,,,
39,,,,,,,,не писали,,,
40,,,,,,,,не писали,,,
41,,,,,,,,не писали,,,
42,,,,,,,,не писали,,,
43,,,,,,,,не писали,,,
44,,,,,,,,не писали,,,
45,,,,,,,,не писали,,,
46,,,,,,,,не писали,,,
47,,,,,,,,не писали,,,
48,,,,,,,,не писали,,,
49,,,,,,,,не писали,,,
50,,,,,,,,не писали,,,
51,,,,,,,,не писали,,,
52,,,,,,,,не писали,,,
53,,,,,,,,не писали,,,
54,,,,,,,,не писали,,,
55,,,,,,,,не писали,,,
56,,,,,,,,не писали,,,
57,,,,,,,,не писали,,,
58,,,,,,,,не писали,,,
59,,,,,,,,не писали,,,
60,,,,,,,,не писали,,,
61,,,,,,,,не писали,,,
62,,,,,,,,не писали,,,
63,,,,,,,,не писали,,,
64,,,,,,,,не писали,,,
65,,,,,,,,не писали,,,
66,,,,,,,,не писали,,,
67,,,,,,,,не писали,,,
68,,,,,,,,не писали,,,
69,,,,,,,,не писали,,,
70,,,,,,,,не писали,,,
71,,,,,,,,не писали,,,
72,,,,,,,,не писали,,,
73,,,,,,,,не писали,,,
74,,,,,,,,не писали,,,
75,,,,,,,,не писали,,,
76,,,,,,,,не писали,,,
77,,,,,,,,не писали,,,
78,,,,,,,,не писали,,,
79,,,,,,,,не писали,,,
80,,,,,,,,не писали,,,
81,,,,,,,,не писали,,,
82,,,,,,,,не писали,,,
83,,,,,,,,не писали,,,
84,,,,,,,,не писали,,,
85,,,,,,,,не писали,,,
86,,,,,,,,не писали,,,
87,,,,,,,,не писали,,,
88,,,,,,,,не писали,,,
89,,,,,,,,не писали,,,
90,,,,,,,,не писали,,,
91,,,,,,,,не писали,,,
92,,,,,,,,не писали,,,
93,,,,,,,,не писали,,,
94,,,,,,,,не писали,,,
95,,,,,,,,не писали,,,
96,,,,,,,,не писали,,,
97,,,,,,,,не писали,,,
98,,,,,,,,не писали,,,
99,,,,,,,,не писали,,,
100,,,,,,,,не писали,,,
