num,name,company_role,city,channel,contact,icp_yes_no,status,touch_date,result,next_step
1,,,,,,,не писали,,,
2,,,,,,,не писали,,,
3,,,,,,,не писали,,,
4,,,,,,,не писали,,,
5,,,,,,,не писали,,,
6,,,,,,,не писали,,,
7,,,,,,,не писали,,,
8,,,,,,,не писали,,,
9,,,,,,,не писали,,,
10,,,,,,,не писали,,,
11,,,,,,,не писали,,,
12,,,,,,,не писали,,,
13,,,,,,,не писали,,,
14,,,,,,,не писали,,,
15,,,,,,,не писали,,,
16,,,,,,,не писали,,,
17,,,,,,,не писали,,,
18,,,,,,,не писали,,,
19,,,,,,,не писали,,,
20,,,,,,,не писали,,,
21,,,,,,,не писали,,,
22,,,,,,,не писали,,,
23,,,,,,,не писали,,,
24,,,,,,,не писали,,,
25,,,,,,,не писали,,,
26,,,,,,,не писали,,,
27,,,,,,,не писали,,,
28,,,,,,,не писали,,,
29,,,,,,,не писали,,,
30,,,,,,,не писали,,,
